id,start_time,end_time,coor_x,coor_y
0,0,24,59,28
10,0,12,76,25
11,12,20,27,56
20,0,12,27,17
21,12,20,10,52
30,0,12,53,68
31,12,20,26,66
40,0,12,58,56
41,12,20,57,72
50,0,12,21,59
51,12,20,43,74
60,0,12,45,26
61,12,20,29,47
70,0,12,12,36
71,12,20,79,57
80,0,12,27,34
81,12,20,69,33
90,0,12,67,57
91,12,20,42,50
100,0,12,73,31
101,12,20,31,14
110,0,12,14,32
111,12,20,61,16
120,0,12,41,57
121,12,20,12,44
130,0,12,55,48
131,12,20,20,78
140,0,12,72,49
141,12,20,44,72
150,0,12,78,40
151,12,20,46,21
160,0,12,39,30
161,12,20,12,34
170,0,12,21,40
171,12,20,42,79
180,0,12,48,57
181,12,20,32,64
190,0,12,49,37
191,12,20,16,22
200,0,12,20,10
201,12,20,68,53
210,0,12,23,47
211,12,20,40,12
220,0,12,63,35
221,12,20,22,62
230,0,12,69,46
231,12,20,41,52
240,0,12,10,25
241,12,20,71,45
250,0,12,58,17
251,12,20,69,74
260,0,12,12,37
261,12,20,25,70
270,0,12,42,21
271,12,20,69,52
280,0,12,50,56
281,12,20,40,16
290,0,12,44,42
291,12,20,78,28
300,0,12,44,62
301,12,20,32,44
310,0,12,42,56
311,12,20,43,65
320,0,12,31,55
321,12,20,36,26
330,0,12,61,60
331,12,20,66,33
340,0,12,38,33
341,12,20,67,63
350,0,12,59,29
351,12,20,79,72
360,0,12,50,31
361,12,20,35,46
370,0,12,68,54
371,12,20,39,27
380,0,12,26,61
381,12,20,52,23
390,0,12,37,59
391,12,20,48,35
400,0,12,33,72
401,12,20,68,46
